지점,시작일,종료일,지점명,위도,경도
12,2007-11-30,,안면도(감),36.5333,126.3167
96,2020-10-23,,독도,37.2395,131.8698
116,2023-10-21,,관악(레),37.4453,126.964
144,1993-03-16,2011-12-09,군산(레),36.0123,126.7834
160,2020-10-23,,부산(레),35.1188,129.0
175,2024-10-15,,진도(레),34.4721,126.3238
229,2024-10-15,,북격렬비도,36.6254,125.5595
230,2021-11-06,,덕적북리,37.2645,126.103
269,2024-04-30,,안마도,35.3469,126.0305
296,2023-01-11,2025-04-25,북부산,35.2178,128.9602
300,2020-10-23,,말도,35.858,126.3151
301,2023-10-25,,임자도,35.0951,126.1164
302,2023-11-23,,장산도,34.6427,126.1826
303,2021-08-03,,가거도,34.0728,125.0974
304,2023-11-01,,신지도,34.318,126.8485
305,2024-10-15,,여서도,33.9862,126.9201
306,2019-11-21,,소리도,34.4319,127.8011
307,2001-01-05,2014-12-10,평도,34.2437,127.4496
308,2024-09-13,,옥도,34.687,126.073
309,2020-09-17,,판문점,37.9464,126.6866
310,2023-11-01,,궁촌,37.3247,129.2647
311,2023-10-29,,가야산,35.7892,128.0867
312,2022-10-25,,주왕산,36.3931,129.1413
313,2023-10-28,,양지암,34.8821,128.7413
314,2024-10-15,,설천봉,35.8662,127.7431
315,2024-10-15,,성삼재,35.3067,127.5108
316,2023-10-30,,무등산,35.1144,126.9974
317,2022-09-22,,구이,35.7295,127.1142
318,2023-09-09,,평창용산,37.6533,128.6821
319,2014-11-23,,천부,37.5373,130.8708
320,2021-07-23,,향로봉,38.331,128.3138
321,2021-07-20,,원통,38.1147,128.1963
322,2021-08-14,,상서,38.2316,127.6857
323,2021-08-31,,마현,38.2727,127.5255
324,2022-09-30,,송계,36.9102,128.0745
325,2023-11-01,,백운,37.1445,128.0253
326,2022-10-27,,용문산,37.5455,127.6113
327,2022-10-22,,청주금천,36.6261,127.5128
328,2024-11-01,,상예,33.2505,126.3984
329,2023-11-30,,산천단,33.4473,126.5655
330,2021-08-07,,대흘,33.5008,126.6495
331,2024-10-25,,제주색달,33.2955,126.4205
332,2024-12-18,,등봉,37.4434,129.1221
333,2024-12-18,,북삼,37.4914,129.0923
334,2024-12-18,,중앙,38.207,128.5919
335,2024-12-18,,강림,37.3602,128.1255
336,2024-12-18,,매일,37.5609,128.1102
337,2024-12-18,,우항,37.4597,128.0632
338,2024-12-18,,둔내,37.5057,128.2107
339,2024-12-18,,서원,37.4892,127.8819
340,2024-12-18,,공근,37.5282,127.9805
344,2024-11-20,,칠성,36.7876,127.8473
345,2024-12-18,,학성,37.3746,127.9458
346,2024-12-18,,강릉구정,37.712,128.8972
347,2023-11-01,,귀래,37.2276,127.8569
348,2023-11-01,,하조대,38.0257,128.7168
349,2024-09-11,,시동,37.6,127.8431
350,2021-04-17,,조침령,37.9953,128.4956
367,2021-05-04,,신현동,37.4062,126.7846
371,2021-05-04,,기흥구갈,37.2805,127.1145
376,2021-07-01,,광명노온,37.4474,126.859
377,2021-12-31,,안양만안,37.3952,126.8919
378,2023-11-06,,정림,36.3036,127.3628
379,2021-11-16,,번암,35.5405,127.5463
400,2023-11-01,,강남,37.4982,127.0816
401,2022-09-23,,서초,37.4846,127.026
402,2023-11-01,,강동,37.5556,127.145
403,2024-12-05,,송파,37.4743,127.1254
404,2023-11-16,,강서,37.5739,126.8295
405,2024-07-31,,양천,37.5282,126.8794
406,2023-10-13,,도봉,37.6656,127.0304
407,2023-11-04,,노원,37.6219,127.0919
408,2023-10-14,,동대문,37.5846,127.0604
409,2023-11-01,,중랑,37.5855,127.0868
410,2020-12-12,,기상청,37.4933,126.9175
411,2024-10-03,,마포,37.5517,126.9292
412,2020-10-10,,서대문,37.5705,126.9408
413,2024-05-09,,광진,37.5334,127.086
414,2023-11-01,,성북,37.6113,126.9998
415,2024-10-15,,용산,37.5196,126.9763
416,2022-09-21,,은평,37.6465,126.9427
417,2024-10-15,,금천,37.4655,126.9002
418,2010-08-16,,한강,37.5249,126.939
419,2021-07-23,,중구,37.5524,126.9874
420,2010-08-16,2010-10-18,북한산,37.616,126.957
421,2023-11-01,,성동,37.5472,127.0389
422,2010-11-03,2018-12-04,북악산,37.6034,126.9844
423,2023-10-25,,구로,37.4933,126.8263
424,2024-07-31,,강북,37.638,127.0098
425,2022-10-26,,남현,37.4635,126.9815
426,2024-10-15,,백령(레),37.9661,124.6305
427,2025-03-14,,양촌,37.6688,126.6472
428,2020-10-23,,하남덕풍,37.5512,127.2128
433,2021-05-04,,부천,37.5006,126.7636
434,2003-08-13,,안양,37.3944,126.9569
437,2021-05-04,,광명,37.4787,126.8653
438,2021-05-04,,군포,37.3615,126.9353
441,2021-01-14,,김포,37.6076,126.7624
444,2021-05-04,,하남,37.5379,127.2137
445,2021-05-04,,의왕,37.3445,126.9688
446,2021-05-04,,남촌,37.1403,127.0637
450,2021-05-04,,주교,37.5983,126.849
493,2022-05-13,,송악,36.7362,127.0081
494,2023-11-25,,세종고운,36.5308,127.2403
495,2024-10-15,,공도,36.9806,127.1625
496,2023-11-01,,세종금남,36.4585,127.2688
497,2021-10-15,,삽당령,37.5752,128.8515
498,2023-11-15,,구룡령,37.8793,128.5145
499,2020-10-15,,중면,38.1361,127.0235
500,2020-10-23,,양도,37.6657,126.4702
501,2019-04-10,,대연평,37.6589,125.6982
502,2021-07-16,,교동,37.7894,126.2916
503,2023-10-27,,도라산,37.908,126.7119
504,2021-09-10,,포천,37.8704,127.1807
505,2020-04-21,,가평조종,37.8244,127.3454
506,2021-07-15,,파주금촌,37.7482,126.7769
507,2021-10-15,,창수,38.0248,127.1436
508,2011-08-31,,왕산,37.4665,126.3609
509,2023-11-01,,관악,37.4528,126.9502
510,2024-10-15,,영등포,37.5271,126.9071
511,2022-05-27,,경서동,37.5675,126.6351
512,2021-10-15,,인천연수,37.3968,126.6621
513,2022-09-28,,덕적지도,37.0655,126.0143
514,2022-10-01,,대부도,37.2377,126.5787
515,2012-11-30,,운평,37.0845,126.7739
516,2023-11-10,,안성,37.0037,127.2502
517,2022-10-13,,간성,38.3851,128.4752
518,2023-10-27,,해안,38.2696,128.1211
519,2024-10-09,,사내,38.0755,127.5194
520,2023-10-17,,설악동,38.1671,128.5182
521,2020-10-23,2022-11-23,강현,38.1437,128.6026
522,2021-10-15,,화촌,37.7871,127.9838
523,2024-08-21,,주문진,37.8985,128.8214
524,2024-08-20,,경포,37.7863,128.8938
525,2025-04-16,,봉평,37.6211,128.3589
526,2024-08-30,,평창,37.3775,128.3947
527,2024-08-27,,신동,37.2111,128.6413
528,2015-12-23,2018-05-01,백령면,37.974,124.7124
529,2024-09-20,,원덕,37.1416,129.2859
530,2021-10-15,,태하,37.5151,130.8118
531,2023-10-12,,가평북면,37.8981,127.5522
532,2023-11-03,,의정부,37.7348,127.0735
533,2024-10-15,,백사,37.3278,127.4808
534,2023-10-13,,장호원,37.121,127.6106
535,2023-10-23,,서석,37.717,128.1827
536,2022-09-28,,횡성,37.4876,127.9724
537,2023-10-13,,임계,37.4832,128.8459
538,2023-11-09,,신서,38.1725,127.103
539,2020-10-13,,포천이동,38.0242,127.3657
540,2024-09-27,,고양,37.6373,126.892
541,2023-11-01,,남양주,37.6341,127.1506
542,2023-11-03,,청평,37.6841,127.3802
543,2023-11-01,,영종도,37.499,126.5496
544,2024-10-05,,전곡항,37.1857,126.6544
545,2023-11-17,,안산,37.281,126.8385
546,2024-10-01,,경기광주,37.4353,127.2592
547,2023-10-16,,양동,37.4159,127.7549
548,2023-11-04,,여주,37.2688,127.6396
549,2023-11-22,,용인,37.2701,127.2218
550,2024-09-07,,오산,37.1693,127.0527
551,2010-11-01,,평택,36.9877,127.1088
552,2024-10-08,,김화,38.2315,127.3894
553,2024-09-06,,죽정,38.457,128.4179
554,2020-10-17,,미시령,38.2144,128.4371
555,2023-10-28,,화천,38.0837,127.6906
556,2024-10-15,,양구,38.098,127.9853
557,2022-09-24,,기린,37.9537,128.3139
558,2024-09-10,,팔봉,37.6861,127.7007
559,2024-09-08,,내면,37.7781,128.3973
560,2024-08-24,,진부,37.6479,128.5645
561,2024-09-04,,청일,37.5822,128.1528
562,2016-08-01,2021-12-24,영월주천,37.2753,128.2694
563,2015-12-24,,북평,37.4636,128.6828
565,2021-07-22,,시흥,37.3915,126.778
566,2023-10-13,,연곡,37.8516,128.8192
567,2020-10-17,,적성,37.9533,126.9318
568,2020-10-23,,일동,37.9588,127.3135
569,2022-09-29,,구리,37.5822,127.157
570,2022-10-07,,금곡,37.6232,126.6423
571,2021-09-16,,화성,37.1953,126.8209
572,2010-11-01,,성남,37.4209,127.1248
573,2021-07-14,,청운,37.5582,127.7135
574,2020-10-09,,대신,37.3694,127.5871
575,2021-10-15,,용인이동,37.1058,127.1877
576,2020-10-08,,백암,37.1297,127.3663
577,2024-12-19,,장봉도,37.5335,126.3366
578,2024-09-25,,호도,36.3012,126.2663
579,2020-10-21,,하장,37.3668,128.9133
580,2023-11-01,,옥계,37.6135,129.0289
581,2021-10-15,,상동,37.1166,128.7744
582,2020-01-03,,신림,37.2315,128.0799
583,2015-07-13,,안흥,37.4646,128.1551
584,1993-09-08,2010-12-04,정선북,37.4711,128.7245
585,2023-11-01,,신남,37.96,128.0742
586,2024-10-16,,북산,38.0321,127.8769
587,2024-10-15,,방산,38.2264,127.9533
588,2021-10-15,,남산,37.7907,127.6429
589,2022-09-27,,고양고봉,37.7024,126.7903
590,2010-12-14,,과천,37.4403,127.0025
591,2020-01-03,,치악산,37.4155,128.0505
592,2020-01-03,,부론,37.2316,127.7487
593,2021-10-15,,양양영덕,38.0073,128.5407
594,2024-10-15,,서화,38.2533,128.21
595,2019-04-26,,진부령,38.2641,128.3742
596,2020-01-03,,오색,38.077,128.4933
597,2015-07-13,,대화,37.5455,128.4411
598,2021-09-15,,양주,37.8312,126.9905
599,2021-07-13,,광릉,37.7617,127.1698
600,2024-10-03,,금왕,36.9737,127.5897
601,2024-10-01,,단양,37.002,128.3469
602,2024-09-11,,진천,36.8634,127.4623
603,2021-08-07,,괴산,36.8161,127.7776
604,2023-10-18,,옥천,36.3,127.5965
605,2023-10-13,,영동,36.16,127.755
606,2022-09-27,,대산,37.0106,126.3881
607,2022-10-05,,근흥,36.6731,126.1354
608,2012-11-23,2023-11-02,홍북,36.6277,126.6451
609,2022-10-13,,삽시도,36.338,126.3562
610,2023-10-27,,홍성죽도,36.52,126.4424
611,2024-09-12,,세종연서,36.5667,127.2806
612,2022-09-27,,공주,36.4828,127.1365
614,2022-10-07,,서천,36.0625,126.7041
615,2024-12-04,,논산,36.2116,127.1082
616,2023-10-25,,당진,36.8894,126.6174
617,2023-10-13,,직산,36.8906,127.1456
618,2015-07-13,,청양,36.4237,126.7791
619,2023-10-21,,음성,36.923,127.7024
620,2020-10-14,,엄정,37.0737,127.9035
621,2021-07-31,,수산,36.9733,128.2142
622,2021-07-29,,수안보,36.8391,128.0079
623,2010-07-30,,증평,36.7956,127.562
624,2022-10-25,,상당,36.6244,127.6571
625,2023-11-01,,속리산,36.5164,127.8156
626,2024-12-04,,옥천청산,36.3529,127.8216
627,2024-12-21,,태안,36.754,126.3295
628,2015-07-13,,예산,36.7421,126.8144
629,2020-10-08,,세종전의,36.6908,127.2005
630,2021-07-31,,노은,37.0457,127.7997
631,2020-03-07,,송도,37.3478,126.6154
632,2020-02-04,,유구,36.5407,126.9336
633,2020-10-07,,정안,36.5511,127.0938
634,2021-09-28,,아산,36.8458,126.8654
635,2021-10-15,,양화,36.1319,126.8602
636,2022-09-28,,계룡,36.3132,127.2407
637,2022-06-24,,신평,36.879,126.8238
638,2024-10-15,,영춘,37.0778,128.4936
639,2020-10-15,,덕산,36.9043,128.1456
640,2022-07-13,,청천,36.6711,127.8653
641,2021-07-27,,가덕,36.5461,127.5239
642,2022-05-23,,오월드,36.2913,127.3959
643,2021-07-24,,세천,36.3402,127.4938
644,2022-09-26,,연무,36.1366,127.09
645,2022-10-06,,서부,36.5789,126.511
646,2020-10-09,,춘장대,36.1741,126.5285
647,2023-12-20,,가곡,36.1247,127.6851
648,2024-09-03,,장동,36.4135,127.4382
649,2020-03-07,,부평,37.4722,126.7507
650,2022-12-07,,양지,38.2509,127.2714
651,2023-11-01,,외촌,38.2772,127.2057
652,2024-10-09,,연천청산,37.99,127.0727
654,2021-07-20,,자월도,37.254,126.3076
655,2019-04-11,,소청도,37.7602,124.7291
656,2021-07-18,,볼음도,37.6873,126.1934
657,2021-09-26,,대천항,36.3244,126.5021
658,2021-08-31,,만리포,36.7683,126.1214
659,2024-10-15,,계룡산,36.343,127.2057
660,2021-07-21,,면온,37.562,128.3776
661,2021-12-18,,현내,38.5425,128.4019
662,2024-10-15,,승봉도,37.1706,126.297
663,2024-10-15,,목덕도,36.9286,125.7869
664,2016-11-21,,영흥도,37.2247,126.4584
665,2024-10-15,,무의도,37.3904,126.4252
666,2024-09-07,,안도,36.9587,126.1683
667,2001-01-05,,옹도,36.6476,126.0093
669,2023-11-01,,외연도,36.2292,126.0758
670,2024-08-23,,양양,38.0887,128.6295
671,2024-09-07,,속초조양,38.1922,128.5761
672,2021-07-25,,상하,35.4424,126.4884
673,2021-08-06,,진영,35.2822,128.7175
674,2017-01-13,,사북,37.2196,128.8214
675,2024-09-11,,남이섬,37.7898,127.5277
676,2020-01-15,,위성센터,36.9906,127.4299
677,2021-10-15,,달방댐,37.5173,129.0213
678,2020-10-23,,강릉성산,37.7248,128.7786
679,2020-10-23,,강릉왕산,37.6105,128.773
680,2020-09-26,,평화,38.2128,127.8447
681,2024-10-15,,간동,38.0512,127.7906
682,2024-10-15,,임남,38.2832,127.8625
683,2017-12-16,2018-02-01,오창가곡,36.7248,127.4655
684,2018-01-08,2018-02-01,춘천신북,37.9546,127.7763
685,2017-12-15,2018-02-01,강정,33.2613,126.4893
686,2018-01-08,2018-02-01,대곡,35.2439,128.1547
687,2019-04-19,,석곡,35.1262,127.2528
688,2023-10-30,,봉산,35.2688,126.9391
689,2021-10-15,,광주남구,35.1008,126.8985
690,2022-09-26,,풍산,35.3362,127.1392
691,2023-10-13,,정산,36.3862,126.9565
692,2024-09-09,,백학,38.0404,126.9245
694,2022-10-21,,원효봉,36.7044,126.6094
695,2024-10-15,,광덕산,38.1162,127.432
696,2021-07-16,,신기,37.3466,129.0861
697,2023-11-10,,서거차도,34.2506,125.9183
698,2023-11-03,,해제,35.0939,126.2851
699,2023-10-28,,무안,34.9838,126.4611
700,2024-10-15,,어청도,36.1251,125.9682
701,2024-09-24,,무주,36.0017,127.6684
702,2024-10-03,,익산,35.9381,126.9925
703,2020-10-23,,진안,35.7604,127.4374
704,2020-10-23,,변산,35.621,126.4776
706,2024-08-30,,담양,35.3102,126.9727
707,2023-10-19,,지도,35.058,126.2084
708,2024-08-29,,광산,35.1289,126.7452
709,2021-05-15,,구례,35.2081,127.4936
710,2020-10-23,,나주,35.025,126.744
711,2013-12-16,,이양,34.8971,126.9898
712,2024-10-15,,순천시,34.9035,127.5193
713,2024-10-15,,광양읍,34.9751,127.5826
714,2024-10-15,,자은도,34.8791,126.0287
715,2011-11-08,2014-05-09,진도읍,34.4731,126.2585
716,2021-08-10,,하의도,34.6307,126.032
717,2022-10-08,,의신,34.4275,126.3098
718,2023-11-01,,상조도,34.333,126.0365
719,2020-02-28,,선유도,35.8088,126.3977
720,2021-08-10,,보길도,34.1549,126.5499
721,2021-08-12,,금일,34.339,127.0283
722,2021-10-15,,조선대,35.1368,126.9288
723,2024-10-15,,거문도,34.0279,127.309
724,2019-12-11,,추자도,33.9578,126.3016
725,2023-11-01,,우도,33.5229,126.9541
726,2023-11-01,,마라도,33.1221,126.2679
727,2023-11-30,,유수암,33.4099,126.3929
729,1991-11-20,2010-11-30,순창,35.38,127.13
730,2023-10-25,,장성,35.2794,126.7611
731,2023-10-27,,영암,34.8167,126.6863
732,2022-10-17,,보성,34.7619,127.0921
733,2012-10-10,,함라,36.0461,126.8917
734,2019-04-26,,완주,35.9855,127.2457
735,2021-07-28,,덕유산,35.8942,127.7731
736,2020-10-23,,진봉,35.8468,126.784
737,2020-10-23,,김제,35.8091,126.8777
738,2020-11-02,,줄포,35.5795,126.6739
739,2020-09-26,,심원,35.5225,126.5467
741,2020-10-23,,화순,35.0567,126.9852
742,2020-10-23,,운남,34.9389,126.3306
743,2024-10-15,,비금,34.7726,125.9469
744,2023-10-26,,산이,34.6725,126.4365
745,2023-08-18,,성전,34.685,126.7255
746,2024-10-15,,땅끝,34.3818,126.5159
747,2024-10-15,,청산도,34.1829,126.858
748,2024-10-15,,벌교,34.8369,127.3631
749,2020-10-23,,도양,34.5347,127.1272
750,2021-09-01,,백야,34.6278,127.6357
751,2024-10-15,,와산,33.4793,126.6939
752,2023-11-30,,서광,33.3046,126.306
753,2012-11-06,,어리목,33.393,126.4959
754,2020-10-23,,함평,35.0604,126.5273
755,2023-08-01,,백아면,35.1596,127.0853
756,2023-11-01,,위도,35.6015,126.282
757,2020-01-03,,진안주천,35.9744,127.436
758,2021-10-15,,동향,35.8352,127.5712
759,2024-09-25,,뱀사골,35.3716,127.5783
760,2021-10-15,,복흥,35.4274,126.9327
761,2020-10-23,,태인,35.6508,126.9346
762,2024-06-01,,임실강진,35.5517,127.187
763,2024-10-15,,여산,36.0592,127.062
764,2020-10-23,,신덕,35.6736,127.1414
765,2024-10-15,,복내,34.8923,127.1345
766,2021-10-15,,여수산단,34.8495,127.715
767,2024-10-15,,포두,34.5885,127.3975
768,2021-08-16,,곡성,35.2889,127.2853
769,2020-10-23,,염산,35.1993,126.3834
770,2022-12-22,,다도,34.9286,126.82
771,2024-10-15,,안좌,34.7269,126.1446
772,2024-10-15,,수유,34.5321,126.2396
773,2020-09-23,,학산,34.7085,126.6359
774,2021-10-15,,전남도청,34.8175,126.4662
775,2025-04-04,,월야,35.1778,126.6391
776,2022-10-31,,현산,34.46,126.5571
777,2021-10-15,,관산,34.5563,126.9346
778,2020-09-23,,유치,34.7959,126.8218
779,2016-11-09,,한림,33.3927,126.2581
780,2023-11-01,,제주남원,33.2772,126.7044
781,2023-11-01,,구좌,33.5199,126.8777
782,2024-10-15,,성판악,33.3851,126.6194
783,2020-10-13,,과기원,35.2303,126.8408
784,2020-09-23,,시종,34.8772,126.6126
785,2021-10-15,,북일,34.4638,126.6763
786,2021-08-31,,돌산,34.6381,127.7741
787,2020-02-04,,도화,34.5067,127.3172
788,2020-10-23,,풍암,35.1316,126.8813
789,2020-10-23,,압해도,34.8764,126.2929
790,2024-10-15,,나로도,34.5326,127.4674
791,2024-09-03,,피아골,35.2662,127.5838
792,2024-12-13,,표선,33.363,126.8184
793,2024-10-04,,대정,33.241,126.2263
794,2022-10-06,,황전,35.1007,127.4274
795,2022-10-01,,옥과,35.2753,127.139
796,2021-08-14,,초도,34.2378,127.2448
797,2021-08-06,,하태도,34.395,125.2995
798,2024-10-15,,홍도,34.6855,125.1924
799,2024-09-10,,낙월도,35.202,126.1349
800,2021-08-10,,평해,36.7257,129.4437
801,2015-07-13,,영양,36.625,129.088
802,2021-08-11,,온정,36.7574,129.3401
803,2020-12-04,,옥산,36.3947,128.8115
804,2022-10-01,,청하,36.1906,129.3392
805,2020-10-10,,죽장,36.1793,129.0943
806,2022-09-27,,선산,36.2334,128.2903
807,2023-11-30,,의흥,36.1797,128.6932
808,2023-11-01,,호미곶,36.076,129.5667
809,2024-10-05,,대덕,35.9354,127.9792
810,2024-10-03,,성주,35.9255,128.2985
811,2022-10-11,,황성,35.863,129.2093
812,2005-11-07,,고령,35.696,128.2821
813,2022-10-12,,청도,35.654,128.7318
814,2023-11-01,,부석,36.9792,128.661
815,2023-11-02,,예천,36.66,128.4646
816,2023-11-04,,구룡포,35.9831,129.5475
817,2023-11-01,,수비,36.7827,129.2212
818,2021-10-15,,마성,36.7078,128.1479
819,2021-10-15,,예안,36.6588,128.8864
820,2012-11-20,,하회,36.5482,128.5267
821,2024-09-26,,공성,36.2819,128.0739
822,2023-12-02,,김천,36.1199,128.1552
823,2023-11-30,,군위,36.2493,128.5558
824,2020-10-23,,가산,36.0956,128.5001
825,2015-07-13,,칠곡,36.0398,128.3813
826,2020-12-04,,신녕,36.0471,128.79
827,2012-12-04,,경산,35.8243,128.743
828,2023-11-01,,달성,35.6902,128.4238
829,2022-10-18,,외동,35.7121,129.3182
830,2020-10-09,,기계,36.0689,129.1996
831,2015-07-13,,석포,37.0401,128.9971
832,2024-09-28,,단북,36.3907,128.4286
833,2020-01-03,,은척,36.5383,128.0419
834,2024-09-11,,화서,36.4412,127.9442
835,2020-10-30,,봉화읍,36.8932,128.716
836,2024-10-12,,현서,36.2794,128.896
837,2024-10-15,,이산,36.8268,128.6429
838,2021-10-15,,동로,36.7907,128.2705
839,2021-10-15,,길안,36.4583,128.8954
840,2024-10-10,,하양,35.9126,128.8144
841,2021-10-15,,화북,36.0849,128.9111
842,2020-10-14,,산내,35.7576,129.011
843,2021-08-13,,금강송,36.9361,129.2501
844,2021-10-15,,영덕읍,36.4355,129.3586
845,2020-10-13,,대구북구,35.9084,128.5907
846,2021-07-21,,대구서구,35.8651,128.531
847,2023-11-30,,소보,36.2762,128.4664
848,2022-10-14,,청도금천,35.6792,128.8953
849,2020-12-04,,지보,36.5469,128.3871
850,2011-12-16,,감포,35.7847,129.4906
851,2021-08-12,,소곡,37.0514,129.3521
852,2022-09-23,,죽변,37.0606,129.426
853,2021-07-21,,팔공산,36.0183,128.6213
854,2023-10-26,,삼동,35.4953,129.1336
855,2022-10-28,,가파도,33.1733,126.2683
856,2023-10-29,,광양백운산,35.1018,127.5982
857,2022-10-07,,완도읍,34.3,126.7174
858,2023-10-28,,지산,34.4296,126.1701
859,2021-09-07,,토함산,35.7549,129.3687
860,2020-04-25,,신암,35.8852,128.619
861,2023-12-28,,제주김녕,33.5556,126.773
862,2023-11-30,,송당,33.4706,126.7792
863,2023-10-21,,외도,33.4769,126.4317
864,2020-10-23,,완산,35.8215,127.155
865,2023-11-30,,오등,33.4577,126.522
866,2021-10-15,2024-04-04,한라생태숲,33.4302,126.5978
867,2021-10-15,,삼각봉,33.3769,126.5305
868,2021-10-15,,사제비,33.376,126.498
869,2023-11-01,,영실,33.3483,126.4964
870,2022-10-18,,진달래밭,33.3698,126.5557
871,2022-10-16,,윗세오름,33.3623,126.5181
872,2022-10-07,,지리산,35.3192,127.7564
873,2016-08-01,2022-12-02,원주백운산,37.2557,127.9702
874,2021-08-31,,동송,38.1416,127.2197
875,2020-10-08,,설악산,38.1211,128.4606
876,2023-10-20,,삼척,37.45,129.1621
877,2021-09-15,,문막,37.3134,127.8049
878,2023-11-01,,도계,37.2238,129.0961
879,2015-07-13,2020-11-18,스키점프,37.6605,128.6796
880,2020-10-23,2021-05-17,금악,33.3328,126.3237
881,2023-11-01,,새만금,35.7295,126.5289
882,2020-10-23,,상무대,35.2518,126.6042
883,2023-11-30,,새별오름,33.3623,126.3599
884,2023-10-20,2024-10-25,서호,33.2593,126.5176
885,2023-11-30,,한남,33.3314,126.6785
886,2023-11-03,,군산산단,35.9505,126.5912
887,2014-06-20,2019-03-18,세종연기,36.5033,127.2897
888,2023-11-01,,청남대,36.4627,127.4907
889,2023-11-01,,현충원,37.5004,126.9765
890,2023-11-30,,제주가시리,33.3854,126.7336
891,2015-12-01,2019-08-09,색달,33.2913,126.4223
892,2020-10-23,,성산수산,33.4501,126.8513
893,2022-10-13,,애월,33.4659,126.3275
898,2019-12-24,,장생포,35.5048,129.386
899,2020-10-23,,마산회원,35.2235,128.5822
900,2022-09-24,,두서,35.6203,129.1436
901,2022-10-15,,울기,35.4868,129.4353
902,2024-09-24,,시천,35.2423,127.819
903,2020-10-23,,도천,35.4039,128.5149
904,2020-10-31,,사상,35.1694,128.9751
905,2021-07-24,,양산상북,35.4414,129.0429
906,2021-07-28,,화개,35.2324,127.6427
907,2015-07-13,,삼천포,34.9321,128.0631
908,2022-10-14,,진해,35.1122,128.7537
909,2024-10-15,,서이말,34.7877,128.7383
910,2024-10-15,,영도,35.0661,129.0742
911,2024-10-15,,매물도,34.6489,128.5772
912,2020-10-23,,백천,35.5263,127.7784
913,2022-10-21,,상주면,34.7238,127.9816
914,2020-10-23,,서하,35.6376,127.7156
915,2020-10-23,,삼가,35.4135,128.1018
916,2024-09-24,,단성,35.3111,127.967
917,2020-10-23,,사천,35.0369,128.0677
918,2021-07-30,,고성,34.9905,128.3309
919,2007-09-10,,창녕,35.5514,128.4767
920,2020-10-23,,함안,35.2961,128.3994
921,2024-10-13,,가덕도,34.9931,128.8314
922,2022-10-13,,단장,35.4865,128.9291
923,2021-07-23,,기장,35.2751,129.2511
924,2023-10-24,,간절곶,35.3587,129.3603
925,2024-10-01,,생림,35.3744,128.823
926,2020-10-23,,진북,35.1262,128.4748
927,2020-10-14,,송백,35.582,128.8837
928,2007-09-13,2015-09-07,웅상,35.4162,129.1731
929,2020-10-09,,개천,35.1137,128.307
930,2024-10-15,,사량도,34.8099,128.2381
931,2024-10-15,,욕지도,34.6223,128.2735
932,2020-10-23,,하동,35.0606,127.7666
933,2021-07-29,,금남,34.9968,127.8324
934,2022-10-08,,수곡,35.2214,127.9285
935,2021-10-15,,청덕,35.5698,128.3411
936,2021-10-15,,신포,35.3326,128.2023
937,2024-11-30,,해운대,35.1772,129.1607
938,2020-10-15,,부산진,35.1589,129.0193
939,2020-10-14,,금정구,35.2932,129.1035
940,2022-10-14,,동래,35.2091,129.0901
941,2020-10-23,,북구,35.213,129.0026
942,2021-07-22,,부산남구,35.1186,129.0884
943,2024-10-15,,매곡,35.6671,129.375
944,2022-10-13,,길곡,35.3852,128.5701
945,2020-10-17,,대병,35.5345,127.9901
946,2021-07-27,,북상,35.78,127.8183
947,2021-10-15,,명사,34.7219,128.5908
948,2023-11-01,,삼장,35.3107,127.8345
949,2012-12-20,,정자,35.6375,129.4412
950,2023-11-01,,사하,35.09,128.9839
951,2024-09-27,,내장산,35.5087,126.9073
953,2022-10-14,,장목,34.9984,128.6798
954,2023-10-25,,온산,35.431,129.3601
964,2021-10-15,,마량,34.459,126.8157
965,2022-10-15,,한라산남벽,33.3524,126.533
966,2017-12-22,,풍도,37.1161,126.3856
967,2017-12-22,,도리도,37.1189,126.6128
968,2017-12-06,2020-01-31,남항,35.081,129.045
969,2017-12-06,2020-07-27,북항,35.091,129.127
970,2024-10-15,,철원장흥,38.2016,127.2502
972,2019-01-01,,안동옥동,36.5498,128.6834
973,2024-10-15,,화순능주,35.0233,126.9496
974,2020-10-23,,대곡,35.2444,128.1561
977,2020-10-23,,오창가곡,36.7246,127.4669
978,2018-02-01,,춘천신북,37.9546,127.7763
980,2022-11-26,,강정,33.2599,126.4892
989,2023-11-01,,안덕화순,33.2579,126.3299
990,2022-10-13,,낙천,33.3182,126.2305
991,2021-11-10,,옥포,35.8028,128.4456
992,2021-11-10,,하빈,35.9062,128.4464
993,2024-04-06,,제주금악,33.3423,126.3099
994,2022-05-02,,심포,35.8545,126.6421
995,2023-12-19,,오천,35.9286,129.3822
996,2023-12-19,,화동,36.3721,127.8949
